"rho"	"adj_p_value"	"CompID1"	"CompID2"	"Calc..MW"	"m.z"	"RT..min."	"Reference.Ion"	"ABSrho"
0.131	0.378	"1507"	"ME_week"	"72.02165"	"71.01385"	"64.16907484"	"Methylglyoxal***"	0.131
0.131	0.383	"1982"	"cereal2b"	"293.11159"	"292.10379"	"141.7857709"	"N-Acetylmuramic acid"	0.131
0.131	0.378	"202"	"snack1"	"189.06425"	"188.05645"	"104.5857543"	"N-Acetylglutamic acid"	0.131
-0.131	0.378	"202"	"spread2"	"189.06425"	"188.05645"	"104.5857543"	"N-Acetylglutamic acid"	0.131
-0.131	0.378	"416"	"potato1"	"90.03221"	"89.02441"	"83.51363766"	"D-(-) Lactic acid"	0.131
0.131	0.378	"91"	"snack8"	"202.12103"	"201.11323"	"540.1626982"	"Sebacic acid "	0.131
0.131	0.378	"1420"	"cereal2b"	"174.06353"	"175.07133"	"55.53524945"	"N-acetylasparagine"	0.131
0.131	0.378	"189"	"cheese3"	"146.105"	"147.1128"	"44.12397023"	"L-Lysine"	0.131
0.131	0.378	"2043"	"drink3b"	"137.04716"	"138.05496"	"57.71849176"	"Trigonelline"	0.131
0.131	0.378	"205"	"cheese3"	"146.06862"	"147.07642"	"53.44554178"	"L-Glutamine  "	0.131
0.131	0.378	"227"	"snack8"	"111.04274"	"112.05054"	"54.91419442"	"Cytosine"	0.131
-0.131	0.383	"480"	"cheese3"	"180.0642"	"181.072"	"316.6273398"	"Theophylline"	0.131
-0.131	0.38	"558"	"cereal3"	"243.085"	"244.0928"	"75.00374209"	"Cytidine"	0.131
-0.131	0.378	"59"	"spread2"	"88.05191"	"89.05971"	"359.718625"	"Butyric acid"	0.131
